"rt.text"
"The #Celtics now hold a commanding lead in their playoff series against the Pacers after Friday’s 104-96 victory. https://t.co/qJntvPuu6t"
"The #Bruins now trail the Maple Leafs in their playoff series, three games to two, after Toronto’s 2-1 win on Friday. https://t.co/y36q2OJ5vR"
"The #RedSox beat the Rays, 6-4, Friday in the opener of their three-game series in St. Petersburg. https://t.co/yeMmQQbH8r"
"McLennan Highlanders pick up another series win over the Rangers https://t.co/z7kXPZWl0X #fox44sports https://t.co/WogfqLPKHS"
".@BaylorSoftball dropped their second game of the series against Iowa State tonight https://t.co/APwv7bz0Ah #fox44sports https://t.co/dKgMfn2Yy9"
"Kevin Durant Makes a Strong Statement in Warriors' Game 3 Win https://t.co/CdhlUosA5L"
"NBA rumors: Kawhi Leonard's teammates think Lakers or Clippers will land star https://t.co/A8KdTrAYoR"
"Why Andre Iguodala hopes Kevon Looney leaves Warriors in free agency https://t.co/b82watd6Wj"
"@_schwartz94 @sam_2148 UFC sports betting is where it’s at"
"What did I just watch"
"@SaraCivian She needs to go away...I saw something about her commenting on how Tiger Woods was done 😂😂😂 Who cares what she has to say about sports"
"""N.H.L. Playoffs: Maple Leafs Win to Put Bruins on the Brink"" by THE ASSOCIATED PRESS in the NYT https://t.co/hVfOg9lMJq"
"""N.B.A. Playoffs: Raptors Hold Off Magic to Take Series Lead"" by THE ASSOCIATED PRESS in the NYT https://t.co/AYSyVvJTZY"
"""Santa Anita, Losing Horses to Other Tracks, Reduces Race Days for Now"" by THE ASSOCIATED PRESS in the NYT https://t.co/qHzC9VeOwR"
"""St. John’s Hires Mike Anderson as New Men’s Basketball Coach"" by THE ASSOCIATED PRESS in the NYT https://t.co/2wZVy1vaon"
"Oh wow, a top prospect that was granted a roster spot ties the game at 1-1...after a huge bomb."
"BOMB FROM GENO!!

1-0 Redlegs in the 1st

That's how we start boys. Let's go"
"@AllianceFBPod Sorry I am more educated on finances than you are. The AAF failed because of FINANCES and lack of MONEY.

Terrible ticket sales.
Terrible corporate sponsorship support.
Terrible TV deals (and terrible TV viewership).

This is sports finance 101. I don’t know why it’s so difficult"
"@AllianceFBPod Yep. Money. How does a sports franchise in any sport make money?
1. Ticket Sales (X)
2. Corporate Sponsors (X)
3. Television Money (X)

3 strikes and you’re out.

Here’s a screenshot since you’re to lazy to do it yourself. https://t.co/3ovXYYNs6z"
"Face à l'Union, l'Impact tentera de prolonger deux séquences de succès https://t.co/4RQvjlNUJ6 https://t.co/V2l6GozFAg"
"Guerrero fils prêt à faire le saut dans les Majeures https://t.co/eSfOVw8CIH https://t.co/Zt1ZxYa2uM"
"Commandites: toujours aussi payantes, les vedettes? https://t.co/R6D5VKWhKb https://t.co/k5HbMidWAh"
"L'Océanic ne peut freiner l'attaque des Huskies, 5 à 1 https://t.co/vBiqEfoHRS https://t.co/givcMdRrlS"
"Les Maple Leafs a une victoire d'éliminer les Bruins https://t.co/OwgxCcLMO2 https://t.co/4u7Khvonnh"
"Feels like home. #LAvHOU @ Dignity Health Sports Park https://t.co/BCCyyoYg9A"
"Sylvia drives in two in 8th as Spartans beat Scotia https://t.co/mqCwBWUTXu"
"Spartans pull past Bulldogs https://t.co/OzV9q538Jj"
"Queensbury edges Glens Falls https://t.co/vwJnUNWeAi"
"Matthews, Kapanen score late, Maple Leafs edge Bruins 2-1 https://t.co/S8JGFIxgIh"
"Seldom used Austin Trice plans to leave K-State. Story from @RMarshallSports:  https://t.co/6bApvpgqEh https://t.co/TbhgF2CB3l"
"The man who made the fields at Kauffman and Arrowhead beautiful could have chosen to go to Denver instead. We’re thankful George Toma, the god of sod, kept his talents in Kansas City. Story from @deejackson41:  https://t.co/07k7LQlpFf https://t.co/ZbeMY9gmqN"
"Silvio De Sousa wants to play for KU, but since the NCAA says he's ineligible, he declared for the 2019 NBA Draft on Friday. https://t.co/bGofacplZO https://t.co/qJaKP4Hrkx"
"You ever go on a guys profile and it’s nothing but intricate sports analysis?"
"Watch: Magic guard Terrence Ross hits buzzer beater from halfcourt to end first half https://t.co/uou2fXywPP https://t.co/jAhqzSSX6Q"
"Magic can't complete rally, fall to Raptors in Game 3 at Amway Center https://t.co/1tOkihiMay https://t.co/PJ0TibopI1"
