play|golf,529
golf|course,417
golf|trip,243
soccer|team,234
play|basketball,229
baseball|game,214
basketball|player,191
basketball|coach,185
tennis|team,181
golf|club,166
play|soccer,161
tennis|ball,151
soccer|game,146
basketball|game,138
basketball|team,133
tennis|shoe,132
sport|fan,130
soccer|player,130
baseball|team,128
tennis|center,115
play|tennis,112
tennis|player,103
sport|team,103
golf|outing,103
golf|cart,103
baseball|player,98
tennis|match,96
tennis|court,89
play|baseball,89
golf|game,79
tennis|tournament,76
soccer|mom,72
soccer|field,63
baseball|softball,63
golf|tournament,58
soccer|fan,55
soccer|ball,55
golf|rush,55
golf|ball,55
tennis|fall,52
basketball|court,50
baseball|season,50
basketball|association,47
sport|bra,46
golf|today,45
get|back,45
team|play,43
basketball|fan,42
basketball|football,41
tennis|championship,40
