"lon","lat"
-119.9771868,38.939926
-90.230759,15.783471
-76.6121893,39.2903848
-84.3879824,33.7489954
-94.6858998,46.729553
-94.6169012,38.966673
-95.712891,37.09024
-88.0017261,41.673642
-74.0059728,40.7127753
-71.4128343,41.8239891
-87.6297982,41.8781136
-81.0295793,35.5316576
-84.3879824,33.7489954
-122.6587185,45.5122308
-90.1994042,38.6270025
-95.3698028,29.7604267
-79.3831843,43.653226
-84.3879824,33.7489954
-81.2470574,32.115481
-101.1334267,27.8647835
-122.6587185,45.5122308
-97.861099,22.2331041
-99.133208,19.4326077
-100.973678,25.4383234
-102.552784,23.634501
-122.6587185,45.5122308
-77.0368707,38.9071923
-87.6297982,41.8781136
-74.6049061,40.5939636
-81.5157535,27.6648274
-77.0368707,38.9071923
-96.7969879,32.7766642
-99.2083953,19.4306575
-83.6299518,42.9275277
-84.5120196,39.1031182
-117.9988026,33.6594835
-104.8945887,21.5041651
-96.7025955,40.813616
-103.3494376,20.6595382
-121.9877444,38.3565773
-86.5263857,39.165325
-83.0576156,42.7509332
-94.3821724,38.9108408
-103.3496092,20.6596988
-71.3824374,42.4072107
-74.0381143,40.2276709
-79.7919754,36.0726354
-100.9855409,22.1564699
-102.552784,23.634501
-77.1710914,38.882334
-86.158068,39.768403
-106.346771,56.130366
