"lon","lat"
-83.0457538,42.331427
-119.4179324,36.778261
-94.5785667,39.0997265
-82.9286428,42.6651965
-86.5804473,35.5174913
-111.0937311,34.0489281
-75.1652215,39.9525839
-92.4421011,35.0886963
-73.567256,45.5016889
-116.419389,34.9592083
-90.0715323,29.9510658
-90.3194698,38.5936624
-75.1652215,39.9525839
-118.430206,34.002975
-76.1783739,40.0466571
-79.2831039,42.1095021
-97.4107128,35.463494
-75.1652215,39.9525839
-93.2922989,37.2089572
-97.092877,35.0077519
-78.6568942,37.4315734
-78.6381787,35.7795897
-95.712891,37.09024
-95.712891,37.09024
-99.9018131,31.9685988
-95.712891,37.09024
-4.2026458,56.4906712
-79.9958864,40.4406248
-85.4669025,37.8092279
-79.0192997,35.7595731
-73.087749,41.6032207
-88.4470508,43.7730448
-96.8448925,32.7497916
-95.712891,37.09024
-77.1945247,41.2033216
-95.3698028,29.7604267
-104.990251,39.7392358
-86.39027,35.8456213
-120.5542012,43.8041334
-73.9441579,40.6781784
-83.7430378,42.2808256
-90.685397,40.4726649
-115.1745559,36.1023715
-122.3320708,47.6062095
-82.9000751,32.1656221
-95.712891,37.09024
-76.6412712,39.0457549
-91.1871466,30.4514677
-121.8374777,39.7284944
-74.0059728,40.7127753
-73.567256,45.5016889
-97.856109,27.5158689
-74.0059728,40.7127753
-99.9018131,31.9685988
-82.9000751,32.1656221
-95.3698028,29.7604267
-87.6297982,41.8781136
-79.3831843,43.653226
-83.357567,33.9519347
-122.6587185,45.5122308
-73.087749,41.6032207
-78.8783689,42.8864468
-75.5276699,38.9108325
-95.712891,37.09024
-89.7384562,43.008608
-87.6297982,41.8781136
-97.7430608,30.267153
-87.0352831,35.6150716
-75.6971931,45.4215296
-76.6412712,39.0457549
-91.8318334,37.9642529
-117.1610838,32.715738
-79.9958864,40.4406248
-96.3699632,30.6743643
-71.3824374,42.4072107
-73.9441579,40.6781784
-119.0187125,35.3732921
-111.8910474,40.7607793
-82.4374874,37.489193
-122.4194155,37.7749295
-96.7969879,32.7766642
-119.4179324,36.778261
-74.0059728,40.7127753
-75.1652215,39.9525839
-84.3879824,33.7489954
-94.8442859,29.7381591
-87.9064736,43.0389025
-119.4179324,36.778261
-73.9712488,40.7830603
-90.0489801,35.1495343
-89.3985283,40.6331249
-85.323214,51.253775
-95.712891,37.09024
-86.9113908,35.802011
-86.1066526,39.6136578
-95.712891,37.09024
-85.323214,51.253775
-84.3879824,33.7489954
-82.9987942,39.9611755
-95.712891,37.09024
-80.0736533,36.1198588
-86.1349019,40.2671941
-95.712891,37.09024
-80.6570304,35.1735404
-74.0059728,40.7127753
-95.712891,37.09024
-88.2825668,42.0354084
-79.7164326,39.900076
-82.8001026,27.9658533
-81.4403898,41.1595005
-112.7105342,51.4651847
-80.8431267,35.2270869
-106.346771,56.130366
-84.9877094,32.4609764
-76.6121893,39.2903848
18.643501,60.128161
-73.567256,45.5016889
-97.7430608,30.267153
-79.0192997,35.7595731
-80.365865,26.190096
-95.3698028,29.7604267
-73.9712488,40.7830603
-87.9064736,43.0389025
-85.6802541,40.1053196
-77.0909809,38.8816208
-79.0192997,35.7595731
-86.39027,35.8456213
-77.1945247,41.2033216
-76.727745,39.9625984
-83.9207392,35.9606384
-71.0588801,42.3600825
-94.6858998,46.729553
-86.9833417,34.6059253
-82.9987942,39.9611755
-89.2476823,48.3808951
-77.1945247,41.2033216
-95.7150582,37.0901287
-84.3879824,33.7489954
-95.712891,37.09024
-119.4179324,36.778261
-118.2436849,34.0522342
-84.3879824,33.7489954
-90.3217585,32.3415342
-122.4345661,47.103988
-122.3320708,47.6062095
-93.097702,41.8780025
-94.5988306,35.4062034
133.775136,-25.274398
-120.6596156,35.2827524
-90.0715323,29.9510658
-73.3292857,40.7617653
-122.4194155,37.7749295
-95.7974526,36.060949
-74.0059728,40.7127753
-73.7948516,40.7282239
-86.4283279,39.4278253
-71.0588801,42.3600825
-77.297508,18.109581
0.182383,51.5244066
-78.6568942,37.4315734
-75.6624122,41.408969
-83.1285242,40.5886699
-85.6023643,44.3148443
-82.907123,40.4172871
-107.2902839,43.0759678
-119.0987176,36.4135605
-93.097702,41.8780025
-85.8344383,41.5822716
-84.3879824,33.7489954
-79.3831843,43.653226
-78.3889024,40.4272949
-80.4549026,38.5976262
-97.7430608,30.267153
-123.0220289,44.0462362
-77.297508,18.109581
-121.4943996,38.5815719
-118.2436849,34.0522342
-123.0867536,44.0520691
-73.9441579,40.6781784
-94.8391532,43.4013478
-77.0368707,38.9071923
-95.712891,37.09024
-79.6441198,43.5890452
-119.4179324,36.778261
-93.1968704,39.1230777
-74.0059728,40.7127753
-76.6412712,39.0457549
-90.1994042,38.6270025
-82.9000751,32.1656221
-82.9987942,39.9611755
-86.5804473,35.5174913
25.7481511,61.92411
-98.4936282,29.4241219
-114.0708459,51.0486151
-73.9209701,41.7003713
-95.712891,37.09024
-93.6249593,41.5868353
-73.9441579,40.6781784
-95.712891,37.09024
-114.0708459,51.0486151
-79.3831843,43.653226
-122.6587185,45.5122308
-75.1652215,39.9525839
-115.1398296,36.1699412
-95.712891,37.09024
-88.8139469,35.6145169
-86.1336033,40.486427
-95.4588299,29.7057858
-71.2356113,42.3764852
-119.2751996,46.28042
-81.7728543,28.5494447
-111.8910474,40.7607793
-120.7401385,47.7510741
-95.712891,37.09024
-86.5804473,35.5174913
-95.7243335,37.2321077
-117.144553,32.7341479
-119.4179324,36.778261
-85.6811017,42.9851272
-106.346771,56.130366
-74.8287747,40.1551096
-95.712891,37.09024
-93.0427153,44.8480218
-119.4179324,36.778261
-96.6388833,32.912624
-99.9018131,31.9685988
-73.9441579,40.6781784
-81.3392352,28.5999998
-115.1398296,36.1699412
-89.3985283,40.6331249
-80.4549026,38.5976262
-75.1652215,39.9525839
-71.3824374,42.4072107
-80.1917902,25.7616798
-118.2436849,34.0522342
-3.3821421,51.6858341
